Period,Afghanistan,Angola,Albania,United Arab Emirates,Argenti0,Armenia,Developing Asia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burki0 Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovi0,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswa0,Central African Republic,Ca0da,Switzerland,Chile,Chi0,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Developing Countries,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific developing,Europe & Central Asia developing,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Gha0,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Gre0da,Guatemala,Guya0,High Income Countries,"Hong Kong SAR, Chi0",Honduras,Croatia,Haiti,Hungary,High income: OECD,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean developing,"Lao, PDR",Lebanon,Liberia,Libya,St. Lucia,Low Income,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,Middle Income Countries,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & N. Africa developing,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,0mibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,High Income: Non-OECD,Oman,Pakistan,Pa0ma,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,South Asia developing,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Serbia,South Sudan,Sub-Saharan Africa developing,Sao Tome and Principe,Suri0me,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Chi0","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Gre0dines,"Venezuela, RB",Viet0m,Vanuatu,World (WBG members),Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1989,0,0,0,3.675,0,0,213.1695,0,1.262848,0.896299,0,0,0.896299,0,0,0,0,0.378007,0,0,0,0,0,0,0,0,16.19991,0,0,1.184331,1.635573,265.1122,3.770805,0,0,0,0,0,0,0,0,0.896299,0,0.896299,0,0,0,7.314897,0,0,271.3152,0,1,0,0,0.896299,0.896299,0,0.896299,0,0.896299,0,0,0.610831,0,0,0,0,0,0,0.896299,0,0,0,36.633,7.80099,0,0,0,0,38.45015,0,16.19991,0.896299,0,0,0,1.875772,0.896299,0,0.616087,138.002,0,20.51144,0,0,0,0,674.3491,0.294522,0,0,0,0,0,0,0,36.06009,2.621661,0.896299,0.896299,0.896299,8.531461,0,0,0,2.498152,0,0,0,0.896299,0,0,0,0,0,0,0,0,2.708065,2.621661,0,0,0,0.896299,6.909389,0,1.669612,3.03925,0.385931,20.44018,1,0,0,0,0,0.896299,0,1,3.643873,0.001,0,0,17.50278,3.7512,0,0,1.95107,0,0,0,0,0,0,0,0,0,0.896299,0.896299,6.452838,2.621661,0,0,0,0,25.71353,0,0,0,1.255689,0,0.951758,0.002,26.41107,138.593,0,0,0,1,0,0,0,0,0,85.26528,0,0,2.621661,0,0
1990,0,0,0,3.674964,0,0,242.0275,0,1.279588,0.771656,0,0,0.771656,0,0,0,0,0.377399,0,0,0,0,0,0,0,0,17.49711,0,0,1.167017,1.390102,303.5003,4.79474,0,0,0,0,0,0,0,0,0.771656,0,0.771656,0,0,0,6.189799,0,0,323.2098,0,1,0,0,0.771656,0.771656,0,0.771656,0,0.771656,0,0,0.562736,0,0,0,0,0,0,0.771656,0,0,0,38.52138,7.790299,0,0,0,0,40.44055,0,17.49711,0.771656,0,0,0,2.023328,0.771656,7.880317,0.669716,144.8216,0,22.85364,0,0,0,0,710.4328,0.290903,0,0,0,0,0,0,0,40.0736,2.5874,0.771656,0.771656,0.771656,8.295228,0,0,0,2.834449,0,0,0,0.771656,0,0,0,0,0,0,0,0,2.704993,2.5874,0,0,0,0.771656,6.260975,0,1.674323,3.015144,0.385735,21.62966,1,0,0,0,0,0.771656,0,1,3.644763,0.001968,0,0,18.89597,3.751429,0,0,1.813648,0,0,0,0,0,0,0,0,0,0.771656,0.771656,5.922493,2.5874,0,0,0,0,25.60794,0,0,0,1.277075,0,0.886162,0.002785,26.87954,190.4714,0,0,0,1,0,0,0,0,0,90.01011,0,0,2.5874,0,0
1991,0,0,0,3.675188,0,0,282.4442,0,1.283241,0.793838,0,0,0.793838,0,0,0,0,0.376336,0,0,0,0,0,0,0,0,22.694,0,0,1.14618,1.434147,345.2498,5.334967,0,0,0,0,0,0,0,0,0.793838,0,0.793838,0,0,0,6.395774,0,0,350.6194,0,1,0,0,0.793838,0.793838,0,0.793838,1.471812,0.793838,0,0,0.566692,0,0,0,0,0,0,0.793838,0,0,0,38.05894,7.771253,0,0,0,0,39.95394,1981.605,22.694,0.793838,0,0,0,2.265286,0.793838,12.00194,0.678318,134.514,0,27.3711,0,0,0,0,736.4815,0.287805,0,0,0,0,0,0,0,41.317,2.759186,0.793838,0.793838,0.793838,8.630828,0,0,0,3.018321,0,0,0,0.793838,0,0,0,0,0,0,0,0,2.749928,2.759186,0,0,0,0.793838,6.48332,0,1.727868,3.003357,0.384009,23.63725,1,0,26.09731,0,0,0.793838,0,1,3.641929,0.005895,0,0,23.76152,3.751893,0,0,1.728129,0,0,0,0,0,0,0,0,0,0.793838,0.793838,6.045018,2.759186,0,0,0,0,25.528,0,0,0,1.282856,0,0.915692,0.004163,26.80095,216.8271,0,0,0,1,0,0,0,0,0,89.6655,0,0,2.759186,0,0
1992,0,0,0,3.673874,0.991757,0,290.6883,0,1.361321,0.756699,0,0,0.756699,0,0,0,0,0.376402,0,0,0,0,0,0.001787,0,0,28.1075,2.214215,0,1.208819,1.406816,352.8247,5.52812,0,0,0,0,710.4072,0,0,0,0.756699,0,0.756699,204.0909,0,0,6.041073,0,0,359.0214,0,1,0,0,0.756699,0.756699,0,0.756699,1.502893,0.756699,0,0,0.569635,0,0,0,0,0,0,0.756699,0,0,0,38.2257,7.741057,0,0,0,0,40.13041,2029.388,28.1075,0.756699,0,0,63.23714,2.458644,0.756699,22.86583,0.674707,126.7324,0,32.10447,0,0,0,0,782.8086,0.294202,0,0,0,0,0,0,0,43.67279,2.853479,0.756699,0.756699,0.756699,8.401817,0,0,0,3.094948,204.2733,0,0,0.756699,0,0,0,0,0,0,0,0,2.547163,2.853479,0,0,0,0.756699,6.217581,0,1.858529,2.985998,0.38537,25.0125,1,1.493951,25.19014,0,0,0.756699,0,1,3.641552,0.030377,0,0,28.79389,3.750847,0,0,1.629747,0,0,0,0,0,0,0,0,0,0.756699,0.756699,5.831442,2.853479,0,0,0,0,25.41145,0,0,0,1.365586,0,0.876563,0.006847,25.14634,292.3404,0,0,0,1,0,0,0,0,0,91.20521,0,0,2.853479,0,0
1993,0,4903.561,110.0993,3.675296,0.998979,0,299.62,2.69682,1.471305,0.839725,0,249.1842,0.839725,0,0,39.50784,0.028239,0.377388,0,0,0,0,4.335714,0.032091,2.001234,1.602944,31.19234,2.406518,0,1.290285,1.477842,404.3905,5.789435,291.4049,0,142.0133,0,786.2383,0,0,0,0.839725,29.48759,0.839725,212.5833,0,0,6.485167,12.82017,21.66599,369.0853,0,1,3.343685,0,0.839725,0.839725,4.931524,0.839725,1.540692,0.839725,0,0,0.665619,0,0,0,8.869885,0,0,0.839725,0,5.780117,0,37.04708,7.736293,6.827153,0,11.99156,95.96055,38.88828,2085.491,31.19234,0.839725,586.7099,0,67.69555,2.823025,0.839725,24.86494,0.68971,111.2102,0,63.13229,0,0,0,0,802.4785,0.302751,61.7401,0,1723.989,0,0,0,0,47.9999,3.269305,0.839725,0.839725,0.839725,9.200655,0,0,0,3.114815,212.4279,0,0,0.839725,0,0,0,399.637,4.330081,115.532,17.96212,4.376156,2.574563,3.269305,0,0,6.198998,0.839725,7.104498,0,1.847905,2.990574,0.385476,28.06796,1,1.986877,27.03404,1.011313,1.949636,0.839725,1764.977,1,3.644102,0.075193,1.115696,143.7856,31.96946,3.752994,0,0,1.616265,3.187866,0,8.718306,0,0,0,0,0,0,0.839725,0.839725,7.789376,3.269305,5.156782,0,0,0,25.32493,0,0,0,1.477329,5.50833,0.985168,0.010967,26.36889,403.8392,1175.038,0,4.137062,1,0,0,0,10698.57,122.3616,91.83828,0,16.48504,3.269305,0,0
1994,0,122750.8,104.3122,3.674759,0.998998,0,310.0265,2.699279,1.36714,0.831726,0,255.5025,0.831726,0,0,39.89553,0.054118,0.377054,0,0,7.439992,0,4.615343,0.638295,2.005191,1.531239,31.40005,2.671815,0,1.365952,1.367048,420.1979,8.610021,545.2111,0,0.02568,0,826.3513,0,0,156.5839,0.831726,28.71848,0.831726,763.6752,0,0,6.354598,13.08502,35.04934,382.0753,10.31057,1,3.379747,0,0.831726,0.831726,5.228127,0.831726,1.463454,0.831726,0,0,0.653048,1.992326,0.093611,982.4069,9.223194,0,0,0.831726,0,5.743894,0,35.97932,7.728617,8.211938,0,14.32288,105.1999,37.76267,2158.766,31.40005,0.831726,1747.971,0,69.96612,2.988876,0.831726,32.82138,0.699255,102.1998,49.67281,55.92481,10.77149,0,0,0,801.4042,0.298336,65.30568,0,1680.08,0,0,0,0,49.17101,3.548696,0.831726,0.831726,0.831726,9.154454,4.248404,577.3731,0,3.384736,769.0891,0,0,0.831726,0,906.7641,0,400.6506,5.823518,122.1226,17.9946,7.913109,2.6237,3.548696,0,21.99364,6.691447,0.831726,7.054266,48.7491,1.685766,2.997259,0.38502,30.54292,1,2.196081,26.31892,1.071786,2.273268,0.831726,1867.659,1,3.642349,0.165208,2.194338,141.5105,32.41649,3.752298,0,0,1.527152,3.25368,0,8.722047,0,0,0,0,0,0,0.831726,0.831726,7.708281,3.548696,5.042479,0,0,0,25.15926,0,0,0,1.368041,5.675673,1.017176,0.029904,26.43539,512.4533,942.3165,0.813481,5.054092,1,66.89833,0,0,10945.17,115.0205,259.2431,0,30.28067,3.548696,0.675617,0
1995,0,516812.7,101.889,3.672901,1.000783,0,317.3325,2.699899,1.349536,0.754546,0.994181,246.7279,0.754546,0,0,39.94192,0.067182,0.377,0,0,11.83091,0,4.806645,0.916864,2.010338,1.417568,32.41393,2.766063,0,1.372213,1.181657,396.8102,8.351316,498.4525,0,0.16879,0,912.5887,0,0,179.6784,0.754546,26.45389,0.754546,2433.317,0,0,5.602943,13.72334,47.18998,391.0209,13.26363,1,3.394015,0,0.754546,0.754546,5.885337,0.754546,1.406098,0.754546,0,0,0.633476,1.522812,0.119595,-193765.9,9.49404,0,0,0.754546,0,5.786688,0,34.04588,7.73472,9.322604,0,18.86113,125.6555,35.72466,2243.652,32.41393,0.754546,2492.591,0,64.70233,3.008456,0.754546,34.94191,0.700057,94.05987,61.00108,51.3327,10.81717,0,0,0,768.6489,0.298617,72.05672,0,1620.912,0,0,0,-6871.209,50.83521,3.625699,0.754546,0.754546,0.754546,8.497783,4.495744,787.5556,0,6.411974,2528.908,0,0,0.754546,0,1261.685,0,431.7981,8.764123,128.5093,17.72905,15.16608,2.506637,3.625699,0,21.97692,7.516208,0.754546,6.335676,50.50358,1.52379,3.006061,0.385082,31.62023,1,2.252892,25.67634,1.279573,2.41369,0.754546,1876.751,1,3.640729,0.203321,4.558777,202.5231,33.40406,3.750883,0,0,1.416833,3.25946,0,8.722531,0,0,0,51179.36,0,0,0.754546,0.754546,7.135,3.625699,4.779408,0,0,0,24.91782,0,0,0,1.317796,5.806744,0.942657,0.045993,26.45943,561.8346,957.5334,1.503331,6.319777,1,35.30862,0,0,11005.64,111.877,767.5124,0,12,3.625699,0.854549,0
1996,0,110941.4,101.8028,3.672184,1.000144,0,324.59,2.699928,1.277522,0.774461,0.862322,269.0391,0.774461,0,0,41.40094,0.178242,0.377,0,0,14.37509,0,5.083509,1.004734,2.010382,1.409886,35.39531,3.312563,0,1.363538,1.236244,412.2705,8.314231,511.2569,0,1.338596,0,1035.934,0,0,207.8522,0.774461,27.14368,0.774461,756.3211,0,0,5.796412,13.78864,54.5089,399.361,14.7562,1,3.396086,0,0.774461,0.774461,6.189673,0.774461,1.403071,0.774461,0,0,0.640542,1.256133,0.163479,997.5312,9.800371,0,0,0.774461,0,6.088241,0,36.87031,7.734012,11.48801,5.400074,15.84056,152.1507,38.69967,2327.331,35.39531,0.774461,3000,0,66.5311,3.185648,0.774461,36.92608,0.709333,108.7941,67.2718,56.50295,12.76529,0,0,0,801.4743,0.299524,81.42514,0,1571.877,0,0,0,301.3313,55.15848,4.297124,0.774461,0.774461,0.774461,8.686551,4.609594,769.4068,0,7.59371,761.2891,0,0,0.774461,0,1505.058,0,464.8713,11.05769,136.8589,19.62583,15.21854,2.515131,4.297124,0,21.9229,8.405404,0.774461,6.454475,56.23779,1.454165,3.035847,0.384989,36.02613,1,2.4487,26.20285,1.318893,2.695656,0.774461,2040.461,1,3.640959,0.308276,5.123481,254.5028,36.48035,3.750893,0,0,1.409697,3.519796,0,8.744298,0,0,0,11426.46,0,0,0.774461,0.774461,6.705303,4.297124,4.982745,0,0,0,25.34846,0,0,0,1.228047,5.91467,0.976596,0.081663,27.44506,552.4269,1034.597,1.831913,7.892848,1,40.0468,0,0,11017.34,111.5069,257.6451,2.448386,63.3997,4.297124,1.188577,0
1997,0,228814.8,148.6727,3.672193,0.999992,0,375.5981,2.696925,1.347961,0.884346,0.797781,327.3213,0.884346,0,0,43.51249,1.589017,0.377,0,0,120.1421,0,5.252101,1.077677,2.011,1.47869,36.32046,3.635113,0,1.384866,1.45041,419.241,8.289856,583.2923,0,3.828133,0,1140.798,442.7626,0,232.6354,0.884346,31.68028,0.884346,1298.935,0,0,6.604519,14.17362,57.61363,463.2405,21.54837,1,3.392245,0,0.884346,0.884346,6.494052,0.884346,1.442449,0.884346,0,0,0.610184,1.297432,0.203571,1077.63,10.02055,0,0,0.884346,0,6.040533,0,42.22784,7.742839,12.98702,6.101022,16.47009,186.7131,44.34357,2879.775,36.32046,0.884346,3000,0,70.76866,3.442525,0.884346,35.24047,0.708018,121.0616,75.44886,58.88013,17.3685,0,0,0,948.9998,0.303436,89.15654,0,1539.363,0,0,0,335.737,58.92144,4.606554,0.884346,0.884346,0.884346,9.495441,4.624374,925.5804,11.73539,7.91918,1309.313,46.93472,0,0.884346,0,1506.167,0,643.2898,11.29327,151.1429,20.95632,16.27818,2.815463,4.606554,0,21.8902,9.413841,0.884346,7.078857,57.03794,1.51343,3.09605,0.385,41.05596,1,2.660036,29.56925,1.437601,3.277342,0.884346,2163.663,1,3.64066,0.711152,5.783412,303.3303,37.91027,3.750973,0,0,1.485407,3.661672,0,8.754148,0,0,0,23470.15,0,0,0.884346,0.884346,7.639589,4.606554,5.031991,0,0,0,30.99278,0,0,0,1.260884,6.159568,1.104341,0.152406,28.65708,603.9837,1070.106,1.861524,9.376761,1,66.44016,0,0,11667.96,115.8155,427.1702,1.356314,121.5939,4.606554,1.297396,0
1998,0,273251.9,152.4996,3.673,1,0,960.3862,2.697102,1.591508,0.898666,0.773661,383.6216,0.898666,0,0,46.54472,1.754463,0.376992,0,0,46.46736,0,5.51542,1.160159,2.011034,1.671438,41.23745,4.213878,0,1.483375,1.449964,460.1817,8.27909,589.5096,0,4.105668,0,1425.417,444.5627,0,256.6356,0.898666,32.25831,0.898666,1799.467,0,0,6.701899,15.17376,58.75077,1198.586,24.19654,1,3.407836,0,0.898666,0.898666,6.963732,0.898666,1.969878,0.898666,0,0,0.603511,1.391571,0.231976,1229.96,10.62553,0,0,0.898666,0,6.368291,0,54.67172,7.746538,13.40694,6.362812,16.91936,214.2937,57.45759,10193.98,41.23745,0.898666,2967.532,0,70.99836,3.793405,0.898666,36.20309,0.708654,130.7625,78.29198,60.34299,20.72089,0,0,0,1398.074,0.304797,110.7181,0,1515.655,0,0,0,375.5539,64.65972,5.528227,0.898666,0.898666,0.898666,9.585367,5.373974,1041.772,11.76947,9.144253,1814.756,54.70955,0,0.898666,0,1490.202,0,814.7779,11.76162,186.8626,23.89479,30.86096,3.920548,5.528227,0,21.89,10.55044,0.898666,7.550207,62.11449,1.867808,3.143466,0.384988,47.26984,1,2.925183,40.75719,2.07334,3.491285,0.898666,2702.189,1,3.640982,0.886853,9.938847,325.9846,42.85173,3.751251,0,0,1.671595,4.458762,0,8.755222,0,0,0,28017.21,0,0,0.898666,0.898666,7.954721,5.528227,5.253524,0,0,0,41.22878,0,0,0,1.484237,6.178172,1.132477,0.261689,33.38353,650.9714,1235.383,2.44732,10.46059,1,94.48048,0,0.564333,13255.24,127.8731,588.9962,0.341372,129.9111,5.528227,1.818064,0
1999,0,168333.9,137.4677,3.672881,0.999656,0,788.4213,2.697299,1.549667,0.938529,0.82484,557.6646,0.938529,0,0,48.95126,1.82813,0.377,0,0,250.1128,0,5.790555,1.814313,1.986112,1.692538,43.05785,4.611682,0,1.48534,1.501994,509.075,8.278342,615.2676,0,4.34957,0,1758.157,455.6788,0,283.9584,0.938529,34.61785,0.938529,1237.672,0,0,6.979607,15.91855,66.13413,981.3968,52.2059,1,3.416931,0,0.938529,0.938529,7.760558,0.938529,1.969875,0.938529,0,0,0.618137,2.016335,0.267476,1337.536,11.49755,0,0,0.938529,0,7.326817,0,47.76816,7.759045,14.23907,7.129073,16.96641,237.1898,50.17866,7854.986,43.05785,0.938529,1962.453,0,72.38979,4.138202,0.938529,38.89512,0.710064,113.7488,119.6641,70.33253,38.90442,0,0,0,1188.284,0.304404,134.971,0,1505.053,0,0,0,430.9646,70.62661,6.112958,0.938529,0.938529,0.938529,9.794806,10.50421,1214.513,11.42382,9.556952,1246.429,57.13469,0,0.938529,0,1011.143,0,988.8933,12.64416,209.2126,25.14816,43.93182,3.800031,6.112958,0,94.50989,11.74696,0.938529,7.799314,68.11184,1.889344,3.183611,0.384982,51.28692,1,3.382244,39.08863,2.578299,3.966014,0.938529,3115.064,1,3.640631,1.529019,24.85553,332.7068,45.04418,3.750758,0,0,1.694527,4.888571,0,8.724809,0,0,0,17352.15,0,0,0.938529,0.938529,8.264575,6.112958,5.328385,0,0,0,37.84463,0,0,0,1.612605,6.182021,1.185333,0.421006,32.25362,739.1883,1456.061,4.197832,11.32693,1,124.6243,0,0.605929,13934.26,129.1716,412.493,0.694723,145.2801,6.112958,2.433617,0
